test case 0, Scramble time cost: 3331ms
LLBBUDBRLDBRDRUFURRUBRFRUFLLDDFDLUFFULUFLBFRBDDFBBUDLR,1657ms,F D L2 B' R' F2 L' D U' R' F2 L2 D2 U' B2 D F2 R2 D2 B2 L2 (21 steps),34ms,3188ms,4880ms
test case 1, Scramble time cost: 3199ms
UUFDUFULBLDURRRDRRRBDLFDBDBUBRLDFFUFBLFULFLULLFRBBBDRD,1657ms,F U R' L2 F2 L F' R2 F2 R D U B2 R2 B2 F2 D R2 D R2 B2 (21 steps),145ms,3188ms,4990ms
test case 2, Scramble time cost: 3012ms
DFFRURUDRBDDDRFLFFLLDBFFRRDUBFDDLFLUBUBLLURBBRULRBULBU,1657ms,B2 D' R B D2 U F L2 B' U R D2 F2 D2 U F2 R2 L2 D' L2 D' L2 D (23 steps),127ms,3273ms,5058ms
test case 3, Scramble time cost: 3283ms
FDRRUURRDLLFLRFUFUBFFFFBBDLLBFUDLRRBUUDRLDBBDDLRUBDLBU,1657ms,D' F' L2 B2 L' U2 B D L2 B' F2 D2 F2 R2 D' U2 F2 D R2 B2 F2 D (22 steps),359ms,3225ms,5242ms
test case 4, Scramble time cost: 2775ms
RFFBUURBBULRLRBLDLURLFFDDUFLFUDDFBUBDDBBLLRRFURFLBUDRD,1657ms,D' U' L2 F D2 U L' B U' R' L' F2 U' B2 U B2 F2 L2 D2 U' R2 D' L2 (23 steps),411ms,3254ms,5322ms
test case 5, Scramble time cost: 3230ms
LBBLUBRUDRRUDRDBBRFRBLFRBLLLFUUDLFRFUDUDLULFDRUFFBBDFD,1657ms,B' F2 L B D' L2 B R U F' L' D F2 D B2 F2 D' R2 F2 D' B2 (21 steps),354ms,3631ms,5642ms
test case 6, Scramble time cost: 2985ms
BURUUULBULBFLRDBBBUDBRFURLRFFDFDLFRULFFRLBLDUDRDLBFRDD,1657ms,D2 F D U L B' D2 F2 L B' L2 U2 B2 D' R2 D2 F2 D' F2 U2 L2 (21 steps),51ms,3211ms,4920ms
test case 7, Scramble time cost: 2982ms
URLLUDUUUBFDURBLUBLRRDFBBBFLRUDDLRFRRBBLLRFLDFFFDBFDUD,1657ms,B U B' R' B D2 F2 D2 R F' D B2 D U2 R2 D B2 F2 U B2 F2 D' (22 steps),137ms,3192ms,4987ms
test case 8, Scramble time cost: 2853ms
RBFUULBDRFBLFRRFRULBULFDULUBDLFDURFBBFDDLUFLRDUDBBRLRD,1657ms,B2 F U' B' R' U2 R F L B2 D R2 B2 L2 F2 L2 D2 R2 U L2 D (21 steps),81ms,3426ms,5165ms
test case 9, Scramble time cost: 3512ms
UFUFUFLDBRRBBRUDRFDLUBFDLUBURRUDDFLLRDBFLRDBFLLFLBUDBR,1657ms,B2 F2 D' B' U2 L' B L F2 R B' F2 D2 F2 R2 U' R2 L2 U2 F2 D' U B2 (23 steps),180ms,3374ms,5211ms
test case 10, Scramble time cost: 3132ms
RFDDURLBUFUBRRUBBBBDLLFFRUUDFRLDUFRDFFUDLDLBFRLULBRLBD,1657ms,B2 F' D2 B' D F2 R2 F2 R' U2 B U B2 U F2 R2 F2 U' B2 D2 B2 F2 (22 steps),214ms,3408ms,5279ms
test case 11, Scramble time cost: 2911ms
RDDBUDFFLUFLURUUBRDRFUFBULBBFLDDRRUUBDLLLLFRRBLDFBBFRD,1657ms,F2 U' B' D' B R2 F R2 D2 R' F2 D2 F2 L2 F2 U' F2 U' F2 R2 U B2 (22 steps),329ms,3105ms,5092ms
test case 12, Scramble time cost: 3248ms
BDLBULDRLDDFLRRDLLLUBDFUBFRRDFFDFUBUDRFULBFUUURRFBBBLR,1657ms,L2 B' U' F2 D2 B' L U F R B2 D U B2 L2 D B2 D R2 B2 U' B2 (22 steps),78ms,3099ms,4834ms
test case 13, Scramble time cost: 3230ms
BLLBURLBRFFUDRBRRDULUDFFLUBDFULDUFDFDRFDLRDUBBFRUBBLLR,1657ms,U2 F' R L2 F2 L2 F' U' L' F' D' U2 B2 R2 B2 L2 D2 R2 B2 D R2 D (22 steps),124ms,3272ms,5054ms
test case 14, Scramble time cost: 3133ms
DDFBURDDDLDRURURRBBLFRFLLLBUFUBDFDLLRRLFLURDFUFBBBUUBF,1657ms,F U2 R L' F U R F R B' R2 D U F2 L2 U R2 U' L2 D R2 (21 steps),51ms,3126ms,4834ms
test case 15, Scramble time cost: 3311ms
LLDUURLLLUBLLRDUFRFUFRFDFDFRBRFDURUBBBDFLFDDDBBURBLURB,1657ms,L' U' B2 R U B' R' D R U' F' R2 D' B2 L2 D2 U' L2 B2 F2 U' B2 L2 (23 steps),519ms,3369ms,5545ms
test case 16, Scramble time cost: 2503ms
